log_timestamp| session_start| running_time| iteration_start| iteration_end| iteration_duration| data_written| data_failed| memory_usage
2024-08-08 13:37:05.492668|2024-08-08 13:29:17.117035|0:07:34.407822|2024-08-08 13:29:31.078863|2024-08-08 13:37:05.486685|0:07:34.407822|26896|16400|{}
2024-08-08 13:52:07.544216|2024-08-08 13:29:17.117035|0:14:17.045376|2024-08-08 13:45:24.901675|2024-08-08 13:52:07.539229|0:06:42.637554|2568|1600|{}
2024-08-08 14:05:14.654077|2024-08-08 13:29:17.117035|0:20:01.936426|2024-08-08 13:59:29.757042|2024-08-08 14:05:14.648092|0:05:44.891050|2317|1400|{}
2024-08-08 14:17:12.444224|2024-08-08 13:29:17.117035|0:25:41.312443|2024-08-08 14:11:33.063221|2024-08-08 14:17:12.439238|0:05:39.376017|2003|1200|{}
2024-08-08 14:30:03.916588|2024-08-08 13:29:17.117035|0:32:19.853398|2024-08-08 14:23:25.370646|2024-08-08 14:30:03.911601|0:06:38.540955|1904|1200|{}
2024-08-08 14:43:17.251315|2024-08-08 13:29:17.117035|0:38:15.326028|2024-08-08 14:37:21.773699|2024-08-08 14:43:17.246329|0:05:55.472630|2296|1400|{}
2024-08-08 14:56:16.291291|2024-08-08 13:29:17.117035|0:44:43.835135|2024-08-08 14:49:47.776202|2024-08-08 14:56:16.285309|0:06:28.509107|2132|1300|{}
2024-08-08 15:10:08.650895|2024-08-08 13:29:17.117035|0:51:29.342867|2024-08-08 15:03:23.130197|2024-08-08 15:10:08.637929|0:06:45.507732|2184|1300|{}
2024-08-08 15:23:06.912148|2024-08-08 13:29:17.117035|0:57:02.050440|2024-08-08 15:17:34.197592|2024-08-08 15:23:06.905165|0:05:32.707573|2342|1434|{}
2024-08-08 15:35:07.056880|2024-08-08 13:29:17.117035|1:02:56.929044|2024-08-08 15:29:12.173290|2024-08-08 15:35:07.051894|0:05:54.878604|1870|1166|{}
2024-08-08 15:48:15.009695|2024-08-08 13:29:17.117035|1:09:35.448921|2024-08-08 15:41:36.484831|2024-08-08 15:48:15.004708|0:06:38.519877|2062|1230|{}
2024-08-08 16:01:08.163213|2024-08-08 13:29:17.117035|1:15:10.781304|2024-08-08 15:55:32.825843|2024-08-08 16:01:08.158226|0:05:35.332383|2285|1389|{}
2024-08-08 16:13:06.278499|2024-08-08 13:29:17.117035|1:21:00.321414|2024-08-08 16:07:16.734402|2024-08-08 16:13:06.274512|0:05:49.540110|1885|1181|{}
2024-08-08 16:26:07.207725|2024-08-08 13:29:17.117035|1:27:37.328861|2024-08-08 16:19:30.195290|2024-08-08 16:26:07.202737|0:06:37.007447|2032|1200|{}
2024-08-08 16:39:10.292486|2024-08-08 13:29:17.117035|1:33:23.617615|2024-08-08 16:33:23.999741|2024-08-08 16:39:10.288495|0:05:46.288754|2296|1400|{}
2024-08-08 16:52:11.019510|2024-08-08 13:29:17.117035|1:40:03.732017|2024-08-08 16:45:30.899150|2024-08-08 16:52:11.013552|0:06:40.114402|1968|1200|{}
2024-08-08 17:06:14.524893|2024-08-08 13:29:17.117035|1:46:47.224290|2024-08-08 16:59:31.027632|2024-08-08 17:06:14.519905|0:06:43.492273|2296|1400|{}
